Address,Telemetry,Validator Name
5DqMavSQikX9eMzwHKiC8xS6VWB2yCd5gGQuQq7KheM2Mgc7,Speedy Staking,Speedy Staking
5He7ZfTTEaC1ruKvPWwBPCNgiKwE7E53u8dwETctYArngMaR,coinage_x_daic,CoinagexDAIC
5FbdZWXM11hJPXhhBmiYYpzkEWrCDPek5dYVUxEUWx75xY9i,ZAN,ZAN
5HeKqnsbwnfgAzKFBBwk3dmDuEue4XGJQoxcHnHcYqSCeJAX,QuantNode,QuantNode
5Gxr8vAwyD53fXav879zsSPLrTx7D4YrSDsbw32VQmZ1LNyX,HashKey_Cloud,HashKey
5HB3SEzH6cP5BE4S6rwhXoji7wy1VQkDX7kb4yQ92TPGhgwF,sfk32l-4ij1,CryptoCrew
5FnELaUus596PwD26KVB6UbAQmM5mYwspnWqsPDFVgyL2L9F,Atlas-Staking,Atlas-Staking
5FFCLHehBNNxMaQ3MTcwk8mzCX7EAMhCv5mVFzo9kkkuFr5n,girnaar-wiwit-node,Girnar nodes
5EptWAk8scxEAe73jcbk1NXnAi1asuzrVewoiGysW6HLEa6o,BlockPI,BLOCKPI NETWORK
5FgXyXP7kgvfQWafiDhmsxpg84uaqa3LqX1a5xyRQv6mjmbM,VNBnode,VNBNODE
5GWnyRPiBgP5tak9GbnksngMEJHve2WfSpyBJaG6taRW3W8V,LithiumDigital-avail-mainnet1,Lithium Digital
5D5i17sAVcbk9e3NveM6EkSwCdZa1H5zbrA34Gih9UeTorrg,AKNodes,AKnodes
5DfnA1P15dbB92Gnx8cKgppXV9K1nNnu5TuBvPE5Qx6AmpoP,ND | Nodes,ND | Nodes
5DArkAst83zoL8YZ3ioasG6acUVS5629Sh8Bf9tjFhyWDJzx,xangle-validator-node,Xangle
5EAHnu95tiZ5GgPgLk2sCHXPYbWS2RgKzHyS73538dZaf4ck,BlackNodes,Blacknodes
5GReLENC89bZfEQdytoMDY2krPnX1YC3qe14Gj3zFbjov4hX,vido-info,vido.info
5HnRBjpJagMGpGkTXnJECQbPvDbhGEWCAb8sGZJAXcHN2PtH,Tecnodes,Tecnodes
5HH5peUYeSqc4xVBk2AF1UNYoAhaoN4rS845XfT9dAYbVkDf,ANDROMEDA3,ANDROMEDAPOOL
5GHUnt9PfsX8BHVXaSC9tiWd6ytsjMZMRsMYZdXwf7SBgSLi,blockhuntersOrg,Blockhunters
5DKy1hfsxTCg4qJPEXo56uhkmzWgMCVCkkTtoDUNtbdiCfP5,InfraSingularity,InfraSingularity
5CiH64C2oM9ZztJ27eGWVUm4LvwtvozChvY4H5MivArPn4C8,lavenderfive,LAVENDER.FIVE NODES
5FqQ3hKubNnejLwquQXjouX1ogwdzcL3xCU2ZqFcZs9NKSTN,encapsulate,Encapsulate
5DPhk5TTP8FdtfHyzmVFPinQyPk6x4jVtNQgaEC18mqohMdy,AiNodes,AiNodes
5Hh1i76DNrUwA5q5QBpRB8mmTx9dQnchEPQsgUUnHEk3GPDL,SenseiNode,SenseiNode
5CMFT9Fvvc5tAvvRr7gyWVUJvHgpVojFiSBt49x1rSf9ASm3,openbuild,Openbuild
5GNuHiHL896vuA7CtqYFJZjdHXtdfGKEwADPuCKsZQ2btrA6,StakeWorks | Avail | HDS06,STAKE.WORKS 
5E7RvG9HW1jdYRYXTUKnMNC1wpip5M4gb4x5L33JJWkgwpCj,CoinHunters,CoinHunters
5D7zj7xm8KvmVDpWqb77HGn3HSy3ubjGk9529Hdyjguw4PDo,Enigma,Enigma
5CteFueSg5eSiboZtoXoxsPLmr3gp3Qky1HPbyCAvUj33S9t,node101-validator,node101
5Ew2zpT4iT7fRLqD81fzq7rGViVj4MSLKMJn6tZdadbQLy8B,StakerHouse-0,StakerHouse
5ENgWrsYiSKMDepgxMjjtbtg5eTQNj59VAd9y5mzyMLE42Wq,5ElementsNodes,5ElementsNodes
5Ct5JmSzUP7gExAVxfgACrsz2qGaRXmJGbenivrcJwy6nKw4,despread,DeSpread
5Do3R1eRr1mCUm1RSwwEcxaV9vjHJRdumu2H2J5y4RHXRb6a,Stakely,Stakely
5CLxMLsLPWh7sHgX6RixmSodeuxy7HVSTR6q19p8fcmX7CFM,P2P,P2P
5CAp9rLiUiqq1ZimmBcGZgef4vCdj9Zxa9SsmTfL4hb3iecy,P2P,
5DaJypQB15jYFa5KjoMPUP7vtaCMDPYGw59RzuPm3Z1Fz7yA,P2P,
5FBtNd4eBvcMmrTLZwXokn78qzeN8ACPc78vpY5JW7V85K8H,P2P,
5HostXbk5r1smXVvYUYVNiQCsg39NqRwix4FdVVFLB5UdTSz,Allnodes,All Nodes
5F7ckS72TB3ftao2BMWxM2YcAAM9WD7tGnwbXWreUtn2t42f,Vault Staking,Vault Staking
5HHLvXQtjt189Af5qNxHJ9nVTgYWGEhFx9mWr85XafaDnNNR,Onfinality,Onfinality

5HpuK6SbUMVHhvzJXsFfha1m7ouJqRTXdK3w32efD1AuQJuB,Natsai,Natsai
